id,name,normalised_name,density
161,mixed seed,mixed seed,0.634014
162,nutritional yeast,nutritional yeast,0.211338
163,sliced shallot,sliced shallot,0.464943
164,black rice,black rice,0.803084
165,chopped cavolo nero,chopped cavolo nero,0.169070
166,chopped kalamata olive,chopped kalamata olive,0.528345
167,diced sweet potato,diced sweet potato,0.591746
168,yellow split pea,yellow split pea,0.845351
169,dark chocolate chip,dark chocolate chip,0.739682
170,chopped nut,chopped nut,0.549478
171,unrefined sugar,unrefined sugar,0.845351
172,white sugar,white sugar,0.845351
173,raspberry jam,raspberry jam,1.268027
174,rapeseed oil,rapeseed oil,0.908753
175,freekeh,freekeh,0.845351
176,pearled spelt,pearled spelt,0.845351
177,semolina flour,semolina flour,0.739682
178,shredded basil,shredded basil,0.147936
179,shredded mint,shredded mint,0.147936
180,shredded cavolo nero,shredded cavolo nero,0.147936
181,shredded kale,shredded kale,0.147936
182,sliced cavolo nero,sliced cavolo nero,0.147936
183,strong flour,strong flour,0.528345
184,chopped watercress,chopped watercress,0.147936
185,grated turmeric,grated turmeric,0.541025
186,mixed berry,mixed berry,0.570612
187,shredded cabbage,shredded cabbage,0.295873
188,sliced beetroot,sliced beetroot,0.507211
189,berry,berry,0.570612
190,chopped herb,chopped herb,0.147936
191,sliced tomato,sliced tomato,0.760816
192,mung bean,mung bean,0.803084
193,aquafaba,aquafaba,1.014422
194,chopped cashew,chopped cashew,0.549478
195,gooseberry,gooseberry,0.655147
196,grape,grape,0.655147
197,grated horseradish,grated horseradish,0.541025
198,minced ginger,minced ginger,0.541025
199,grated hard cheese,grated hard cheese,0.422676
200,miso,miso,1.098957
201,dried cherry,dried cherry,0.612880
202,black sesame seed,black sesame seed,0.591746
203,carnaroli rice,carnaroli rice,0.845351
204,molasses,molasses,1.479365
205,treacle,treacle,1.479365
206,sticky rice,sticky rice,0.845351
207,chestnut,chestnut,0.760816
208,chopped leek,chopped leek,0.422676
209,chopped pumpkin,chopped pumpkin,0.634014
210,diced carrot,diced carrot,0.570612
211,goat curd,goat curd,1.014422
212,kefir,kefir,1.056689
213,labneh,labneh,1.014422
214,whipping cream,whipping cream,1.014422
215,white miso paste,white miso paste,1.098957
216,wholemeal rye flour,wholemeal rye flour,0.549478
217,dark brown soft sugar,dark brown soft sugar,0.781950
218,light soft brown sugar,light soft brown sugar,0.781950
219,soft dark brown sugar,soft dark brown sugar,0.781950
220,chopped plum tomato,chopped plum tomato,0.760816
221,dried fig,dried fig,0.634014
222,dried mushroom,dried mushroom,0.147936
223,crushed pistachio,crushed pistachio,0.549478
224,apricot jam,apricot jam,1.268027
225,cherry jam,cherry jam,1.268027
226,tomato ketchup,tomato ketchup,1.056689
227,basil leaf,basil leaf,0.063401
228,cavolo nero,cavolo nero,0.126803
229,lentil,lentil,0.845351
230,yellow lentil,yellow lentil,0.845351
231,oil,oil,0.908753
232,dried sour cherry,dried sour cherry,0.612880
233,short grain brown rice,short grain brown rice,0.845351
234,gluten-free flour,gluten-free flour,0.528345
235,gluten-free self-raising flour,gluten-free self-raising flour,0.528345
236,chopped beetroot,chopped beetroot,0.549478
237,chopped chorizo,chopped chorizo,0.549478
