id,name,normalised_name,density
678,green bean,green bean,0.528345
679,strawberry,strawberry,0.634014
680,mustard seed,mustard seed,0.634014
681,buckwheat flour,buckwheat flour,0.528345
682,sunflower seed,sunflower seed,0.634014
683,dried breadcrumb,dried breadcrumb,0.253605
684,carrot,carrot,0.549478
685,chopped mushroom,chopped mushroom,0.359274
686,harissa paste,harissa paste,1.098957
687,chopped dill,chopped dill,0.147936
688,jaggery,jaggery,0.845351
689,brown rice syrup,brown rice syrup,1.479365
690,chilli sauce,chilli sauce,1.056689
691,green olive,green olive,0.528345
692,pine nut,pine nut,0.549478
693,sun-dried tomato paste,sun-dried tomato paste,1.098957
694,liquid glucose,liquid glucose,1.479365
695,feta cheese,feta cheese,0.549478
696,evaporated milk,evaporated milk,1.310295
697,garlic paste,garlic paste,0.541025
698,turmeric powder,turmeric powder,0.401542
699,pumpkin,pumpkin,0.634014
700,toasted sesame seed,toasted sesame seed,0.591746
701,sliced celery,sliced celery,0.380408
702,tamarind concentrate,tamarind concentrate,1.479365
703,chipotle paste,chipotle paste,1.098957
704,diced cucumber,diced cucumber,0.507211
705,date syrup,date syrup,1.479365
706,cucumber,cucumber,0.507211
707,iced water,iced water,0.997515
708,custard powder,custard powder,0.528345
709,chopped basil,chopped basil,0.147936
710,potato starch,potato starch,0.528345
711,diced celeriac,diced celeriac,0.634014
712,boiling water,boiling water,0.997515
713,quinoa,quinoa,0.845351
714,grated potato,grated potato,0.634014
715,grated apple,grated apple,0.380408
716,cannellini bean,cannellini bean,0.803084
717,cooking oil,cooking oil,0.908753
718,chopped bell pepper,chopped bell pepper,0.612880
719,sliced shiitake mushroom,sliced shiitake mushroom,0.317007
720,pumpkin puree,pumpkin puree,0.634014
721,chopped lemongrass,chopped lemongrass,0.380408
722,petit pois,petit pois,0.612880
723,horseradish sauce,horseradish sauce,1.014422
724,baking soda,baking soda,0.507211
725,rye flour,rye flour,0.549478
726,clotted cream,clotted cream,1.014422
727,minced parsley,minced parsley,0.147936
728,fried shallot,fried shallot,0.317007
729,tapioca flour,tapioca flour,0.612880
730,sliced fennel,sliced fennel,0.380408
731,black bean,black bean,0.634014
732,sweet potato,sweet potato,0.591746
733,chopped stem ginger,chopped stem ginger,0.486077
734,cranberry sauce,cranberry sauce,1.268027
735,quick-cook polenta,quick-cook polenta,0.739682
736,chopped shiitake mushroom,chopped shiitake mushroom,0.359274
737,tapioca starch,tapioca starch,0.612880
738,tarragon,tarragon,0.147936
739,oatmeal,oatmeal,0.380408
740,broccoli,broccoli,0.612880
741,sambal oelek,sambal oelek,1.056689
742,glutinous rice flour,glutinous rice flour,0.845351
743,sesame paste,sesame paste,1.098957
744,cooked rice,cooked rice,0.845351
745,ginger syrup,ginger syrup,1.479365
746,creme fraiche,creme fraiche,1.014422
747,julienned carrot,julienned carrot,0.549478
748,rhubarb,rhubarb,0.591746
749,brown rice miso,brown rice miso,1.098957
750,peanut,peanut,0.549478
751,crushed tomato,crushed tomato,0.760816
752,beetroot,beetroot,0.507211
753,plum tomato,plum tomato,0.760816
754,shallot,shallot,0.464943
755,dried chilli,dried chilli,0.147936
756,grated sweet potato,grated sweet potato,0.380408
757,stem ginger syrup,stem ginger syrup,1.479365
758,white cabbage,white cabbage,0.295873
759,chopped sage,chopped sage,0.147936
760,cherry,cherry,0.634014
761,sugar snap pea,sugar snap pea,0.612880
762,coconut sugar,coconut sugar,0.845351
763,quartered onion,quartered onion,0.612880
764,ricotta cheese,ricotta cheese,1.014422
765,rosemary,rosemary,0.147936
766,dulce de leche,dulce de leche,1.310295
767,sliced red chilli,sliced red chilli,0.486077
768,sourdough bread,sourdough bread,0.253605
769,goat cheese,goat cheese,0.845351
770,corn flour,corn flour,0.739682
771,button mushroom,button mushroom,0.317007
772,non-dairy milk,non-dairy milk,1.014422
773,shredded lettuce,shredded lettuce,0.295873
774,chestnut puree,chestnut puree,1.098957
775,galangal paste,galangal paste,0.541025
776,sichuan chilli bean paste,sichuan chilli bean paste,1.056689
777,spring onion,spring onion,0.380408
778,butter,butter,0.908753
779,yeast,yeast,0.211338
780,grated parsnip,grated parsnip,0.380408
781,minced onion,minced onion,0.612880
782,yellow mustard seed,yellow mustard seed,0.634014
783,blackcurrant,blackcurrant,0.570612
784,crispy chilli in oil,crispy chilli in oil,0.908753
785,pistachio paste,pistachio paste,0.507211
786,parsley leaf,parsley leaf,0.147936
787,borlotti bean,borlotti bean,0.803084
788,sun-dried tomato,sun-dried tomato,0.634014
789,hummus,hummus,1.098957
790,chilli paste,chilli paste,1.098957
791,shredded brussels sprout,shredded brussels sprout,0.295873
792,white bean,white bean,0.781950
793,english mustard powder,english mustard powder,0.507211
794,wholewheat flour,wholewheat flour,0.549478
795,custard,custard,1.014422
796,pecan,pecan,0.549478
797,blue cheese,blue cheese,0.549478
798,mozzarella,mozzarella,1.014422
799,cooked long grain rice,cooked long grain rice,0.845351
800,medjool date,medjool date,0.634014
801,sliced brussels sprout,sliced brussels sprout,0.295873
802,greens,greens,0.126803
803,bulgur,bulgur,0.845351
804,chestnut mushroom,chestnut mushroom,0.317007
805,red cabbage,red cabbage,0.295873
806,shredded coconut,shredded coconut,0.211338
807,grated cucumber,grated cucumber,0.507211
808,ice water,ice water,0.997515
809,masa harina,masa harina,0.739682
810,light olive oil,light olive oil,0.908753
811,dark rye flour,dark rye flour,0.549478
812,pine kernel,pine kernel,0.549478
813,brewed coffee,brewed coffee,0.997515
814,crushed coriander seed,crushed coriander seed,0.591746
815,edamame bean,edamame bean,0.612880
816,parsnip,parsnip,0.634014
817,glucose,glucose,1.479365
818,sliced portobello mushroom,sliced portobello mushroom,0.317007
819,halved cherry tomato,halved cherry tomato,0.760816
820,cheddar,cheddar,0.422676
821,cooked quinoa,cooked quinoa,0.845351
822,tomato concentrate,tomato concentrate,1.098957
823,dried prune,dried prune,0.634014
824,date molasses,date molasses,1.479365
825,shredded pak choi,shredded pak choi,0.295873
826,black-eyed bean,black-eyed bean,0.803084
827,chopped sun-dried tomato,chopped sun-dried tomato,0.528345
828,gochujang paste,gochujang paste,1.098957
829,sparkling water,sparkling water,0.997515
830,grated celeriac,grated celeriac,0.380408
831,squash,squash,0.634014
832,shelled pistachio,shelled pistachio,0.549478
833,grated plum tomato,grated plum tomato,0.760816
834,quartered mushroom,quartered mushroom,0.317007
835,ginger,ginger,0.541025
836,oat flour,oat flour,0.528345
837,frozen sweetcorn,frozen sweetcorn,0.612880
838,quartered potato,quartered potato,0.634014
839,radicchio,radicchio,0.084535
840,buckwheat,buckwheat,0.845351
841,horseradish,horseradish,0.541025
842,crumbled blue cheese,crumbled blue cheese,0.549478
843,cabbage,cabbage,0.295873
844,raw sugar,raw sugar,0.845351
845,nutella,nutella,1.056689
846,cress,cress,0.105669
847,grated daikon,grated daikon,0.380408
848,candied orange peel,candied orange peel,0.697415
849,diced leek,diced leek,0.380408
850,crispy onion,crispy onion,0.317007
851,giant couscous,giant couscous,0.845351
852,kewpie mayonnaise,kewpie mayonnaise,1.014422
853,red curry paste,red curry paste,1.098957
854,garlic oil,garlic oil,0.908753
855,swede,swede,0.634014
856,pecorino,pecorino,0.359274
857,green,green,0.126803
858,brown miso,brown miso,1.098957
859,shredded carrot,shredded carrot,0.380408
860,chopped flat-leaf parsley,chopped flat-leaf parsley,0.147936
861,podded pea,podded pea,0.612880
862,pistachio,pistachio,0.549478
863,cooked chickpea,cooked chickpea,0.781950
864,diced bramley apple,diced bramley apple,0.570612
865,aubergine,aubergine,0.338141
866,turnip,turnip,0.634014
867,grated halloumi,grated halloumi,0.422676
868,diced bread,diced bread,0.253605
869,diced garlic,diced garlic,0.549478
870,coconut,coconut,0.211338
871,sprouted mung bean,sprouted mung bean,0.317007
872,grainy mustard,grainy mustard,1.014422
873,sprouted seed,sprouted seed,0.317007
874,chopped cornichon,chopped cornichon,0.634014
875,glucose syrup,glucose syrup,1.479365
876,plum,plum,0.655147
877,diced swede,diced swede,0.634014
878,milled flax seed,milled flax seed,0.634014
879,sliced jalapeno,sliced jalapeno,0.528345
880,chopped rhubarb,chopped rhubarb,0.591746
881,chutney,chutney,1.268027
882,fermented black bean,fermented black bean,1.098957
883,kidney bean,kidney bean,0.803084
884,herb,herb,0.147936
885,pureed pea,pureed pea,0.676281
886,vegan double cream,vegan double cream,1.014422
887,chopped banana shallot,chopped banana shallot,0.464943
888,chopped gherkin,chopped gherkin,0.507211
889,julienned cucumber,julienned cucumber,0.507211
890,oyster mushroom,oyster mushroom,0.317007
891,dark agave syrup,dark agave syrup,1.310295
892,sliced celeriac,sliced celeriac,0.549478
893,rose harissa paste,rose harissa paste,1.098957
894,toasted pine nut,toasted pine nut,0.549478
895,chopped broccoli,chopped broccoli,0.169070
896,frozen cherry,frozen cherry,0.422676
897,syrup,syrup,1.479365
898,garden pea,garden pea,0.612880
899,white rye flour,white rye flour,0.549478
900,crushed cornflake,crushed cornflake,0.211338
901,sliced aubergine,sliced aubergine,0.338141
902,instant polenta,instant polenta,0.739682
903,runner bean,runner bean,0.422676
904,chopped parsnip,chopped parsnip,0.570612
905,chopped glace cherry,chopped glace cherry,0.612880
906,pureed tomato,pureed tomato,1.035555
907,chopped medjool date,chopped medjool date,0.697415
908,crushed biscuit,crushed biscuit,0.253605
909,crisp shallot,crisp shallot,0.317007
910,datterini tomato,datterini tomato,0.760816
911,walnut piece,walnut piece,0.422676
912,chopped water chestnut,chopped water chestnut,0.676281
913,jelly,jelly,1.268027
914,diced fennel,diced fennel,0.507211
915,ground rice,ground rice,0.612880
916,sliced sugar snap pea,sliced sugar snap pea,0.612880
917,dry breadcrumb,dry breadcrumb,0.253605
918,chilli jam,chilli jam,1.268027
919,sliced button mushroom,sliced button mushroom,0.317007
920,coconut chip,coconut chip,0.211338
921,ginger and garlic paste,ginger and garlic paste,0.541025
922,black olive tapenade,black olive tapenade,1.098957
923,strong wholemeal flour,strong wholemeal flour,0.549478
924,shiro miso,shiro miso,1.098957
925,cheese,cheese,0.422676
926,chopped pickled cucumber,chopped pickled cucumber,0.507211
927,pitted green olive,pitted green olive,0.528345
928,chopped celery leaf,chopped celery leaf,0.147936
929,fine bulgur wheat,fine bulgur wheat,0.845351
930,fried onion,fried onion,0.317007
931,fruit jelly,fruit jelly,1.268027
932,banana shallot,banana shallot,0.612880
933,crushed caraway seed,crushed caraway seed,0.591746
934,wild garlic leaf,wild garlic leaf,0.126803
935,parmesan cheese,parmesan cheese,0.359274
936,egg,egg,1.014422
937,light-brown sugar,light-brown sugar,0.781950
938,crushed chilli flake,crushed chilli flake,0.422676
939,cooked bean,cooked bean,0.781950
940,haricot bean,haricot bean,0.803084
941,leek,leek,0.380408
942,chopped mango,chopped mango,0.634014
943,sliced savoy cabbage,sliced savoy cabbage,0.295873
944,garlic,garlic,0.549478
945,waxy potato,waxy potato,0.634014
946,chopped roasted peanut,chopped roasted peanut,0.549478
947,puffed rice,puffed rice,0.359274
948,ground flaxseed,ground flaxseed,0.211338
949,chocolate hazelnut spread,chocolate hazelnut spread,1.056689
950,shredded mozzarella,shredded mozzarella,0.422676
951,monosodium glutamate,monosodium glutamate,0.211338
952,makrut lime zest,makrut lime zest,0.541025
953,chopped roasted almond,chopped roasted almond,0.549478
954,grated palm sugar,grated palm sugar,0.845351
955,dried herb,dried herb,0.147936
956,golden granulated sugar,golden granulated sugar,0.845351
957,coconut palm sugar,coconut palm sugar,0.845351
958,cashew nut,cashew nut,0.549478
959,toasted sunflower seed,toasted sunflower seed,0.634014
960,pitted cherry,pitted cherry,0.634014
961,banana chip,banana chip,0.612880
962,pickled cherry,pickled cherry,1.268027
963,sambal belacan,sambal belacan,1.056689
964,frozen berry,frozen berry,0.570612
965,shredded spring onion,shredded spring onion,0.380408
966,grated parmigiano reggiano,grated parmigiano reggiano,0.359274
967,mashed swede,mashed swede,0.676281
968,sliced mangetout,sliced mangetout,0.422676
969,shredded sage,shredded sage,0.147936
970,coarse semolina,coarse semolina,0.739682
971,glace cherry,glace cherry,0.634014
972,jumbo rolled oat,jumbo rolled oat,0.317007
973,fresh breadcrumb,fresh breadcrumb,0.253605
974,chocolate chip,chocolate chip,0.676281
975,medium grain rice,medium grain rice,0.845351
976,mixed leaf,mixed leaf,0.084535
977,flat-leaf parsley,flat-leaf parsley,0.147936
978,curry leaf,curry leaf,0.147936
979,savoy cabbage,savoy cabbage,0.295873
980,mixed green,mixed green,0.126803
981,frozen raspberry,frozen raspberry,1.268027
982,rock sugar,rock sugar,0.845351
983,garlic-infused oil,garlic-infused oil,0.908753
984,sliced wild mushroom,sliced wild mushroom,0.147936
985,crushed digestive biscuit,crushed digestive biscuit,0.253605
986,diced mushroom,diced mushroom,0.359274
987,french bean,french bean,0.528345
988,grape molasses,grape molasses,1.479365
989,chicken or vegetable stock,chicken or vegetable stock,0.997515
990,vine tomato,vine tomato,0.760816
991,pitted date,pitted date,0.634014
992,chopped lime leaf,chopped lime leaf,0.147936
993,coconut water,coconut water,0.997515
994,dark brown muscovado sugar,dark brown muscovado sugar,0.781950
995,roasted sesame seed,roasted sesame seed,0.591746
996,grated swede,grated swede,0.380408
997,wild rice,wild rice,0.845351
998,halved cherry,halved cherry,0.422676
999,chopped golden raisin,chopped golden raisin,0.612880
1000,crumbled tempeh,crumbled tempeh,0.697415
1001,mangetout,mangetout,0.422676
1002,gherkin brine,gherkin brine,1.014422
1003,anchovy oil,anchovy oil,0.908753
1004,lettuce,lettuce,0.084535
1005,crumbled goat cheese,crumbled goat cheese,0.845351
1006,chopped candied citrus peel,chopped candied citrus peel,0.697415
1007,malt powder,malt powder,1.479365
1008,toasted flaked almond,toasted flaked almond,0.422676
1009,grated mooli,grated mooli,0.380408
1010,chopped dried fig,chopped dried fig,0.634014
1011,creamed coconut,creamed coconut,1.014422
1012,brown miso paste,brown miso paste,1.098957
1013,frozen spinach,frozen spinach,0.126803
1014,chopped pickled walnut,chopped pickled walnut,0.528345
1015,sliced lettuce,sliced lettuce,0.147936
1016,chopped portobello mushroom,chopped portobello mushroom,0.359274
1017,leafy green,leafy green,0.126803
1018,black onion seed,black onion seed,0.591746
1019,quince paste,quince paste,1.098957
1020,sunflower spread,sunflower spread,0.908753
1021,chickpea liquid,chickpea liquid,1.014422
1022,fennel frond,fennel frond,0.147936
1023,mixed nut,mixed nut,0.549478
1024,quartered strawberry,quartered strawberry,0.634014
1025,amaranth seed,amaranth seed,0.591746
1026,soft herb,soft herb,0.147936
1027,walnut oil,walnut oil,0.908753
1028,mint sauce,mint sauce,1.014422
1029,chopped oyster mushroom,chopped oyster mushroom,0.359274
1030,sliced dried apricot,sliced dried apricot,0.634014
1031,vegetable broth,vegetable broth,0.997515
1032,candied fruit,candied fruit,0.634014
1033,chocolate,chocolate,0.676281
1034,pitted black olive,pitted black olive,0.528345
1035,chickpea cooking water,chickpea cooking water,1.014422
1036,water chestnut,water chestnut,0.486077
1037,white shiro miso,white shiro miso,1.098957
1038,corn starch,corn starch,0.507211
1039,sliced date,sliced date,0.697415
1040,sorrel,sorrel,0.084535
1041,malt syrup,malt syrup,1.479365
1042,cardamom seed,cardamom seed,0.591746
1043,pinhead oatmeal,pinhead oatmeal,0.380408
1044,linseed,linseed,0.634014
1045,shio koji,shio koji,1.098957
1046,smoked water,smoked water,0.997515
1047,frozen blueberry,frozen blueberry,0.634014
1048,sliced radicchio,sliced radicchio,0.486077
1049,chopped bacon,chopped bacon,0.549478
1050,pearl sugar,pearl sugar,0.845351
1051,chopped mixed candied peel,chopped mixed candied peel,1.268027
1052,chopped choi sum,chopped choi sum,0.169070
1053,celery leaf,celery leaf,0.147936
1054,dried marjoram,dried marjoram,0.063401
1055,pickled onion,pickled onion,0.612880
1056,chopped cucumber,chopped cucumber,0.507211
1057,halved strawberry,halved strawberry,0.634014
1058,sliced sage,sliced sage,0.147936
1059,carrot leaf,carrot leaf,0.126803
1060,coarse bulgur wheat,coarse bulgur wheat,0.845351
1061,vegan cheese,vegan cheese,1.014422
1062,vegan creme fraiche,vegan creme fraiche,1.014422
1063,sliced hispi cabbage,sliced hispi cabbage,0.295873
1064,grated jaggery,grated jaggery,0.845351
1065,mixed dried herb,mixed dried herb,0.147936
1066,strained yoghurt,strained yoghurt,1.014422
1067,herbes de provence,herbes de provence,0.147936
1068,grapeseed oil,grapeseed oil,0.908753
1069,chopped palm sugar,chopped palm sugar,0.845351
1070,chopped coriander root,chopped coriander root,0.486077
1071,sliced pak choi,sliced pak choi,0.380408
1072,pitted medjool date,pitted medjool date,0.634014
1073,dark miso,dark miso,1.098957
1074,american mustard,american mustard,1.014422
1075,mexican oregano,mexican oregano,0.147936
1076,crushed pea,crushed pea,0.612880
1077,minced herb,minced herb,0.147936
1078,cooked short grain rice,cooked short grain rice,0.845351
1079,crispy chilli oil,crispy chilli oil,0.908753
1080,frozen mixed berry,frozen mixed berry,0.570612
1081,dried chestnut,dried chestnut,0.760816
1082,chopped romaine lettuce,chopped romaine lettuce,0.147936
1083,baby tomato,baby tomato,0.760816
1084,garlic and ginger paste,garlic and ginger paste,0.541025
1085,sliced rhubarb,sliced rhubarb,0.591746
1086,mild curry paste,mild curry paste,1.098957
1087,chopped candied ginger,chopped candied ginger,0.486077
1088,chopped blanched hazelnut,chopped blanched hazelnut,0.549478
1089,fig jam,fig jam,1.268027
1090,non-dairy butter,non-dairy butter,0.908753
1091,cashew,cashew,0.422676
1092,vegan cream cheese,vegan cream cheese,1.014422
1093,curry paste,curry paste,1.098957
1094,chopped garlic chive,chopped garlic chive,0.147936
1095,chopped coconut,chopped coconut,0.211338
1096,shelled pea,shelled pea,0.612880
1097,vanilla custard,vanilla custard,1.268027
1098,cornstarch,cornstarch,0.612880
1099,shredded wild garlic leaf,shredded wild garlic leaf,0.147936
1100,cooked buckwheat,cooked buckwheat,0.845351
1101,brown mustard seed,brown mustard seed,0.634014
1102,toasted coconut flake,toasted coconut flake,0.211338
1103,vanilla sugar,vanilla sugar,0.845351
1104,red kidney bean,red kidney bean,0.803084
1105,summer berry,summer berry,0.570612
1106,toasted almond,toasted almond,0.422676
1107,chopped pumpkin seed,chopped pumpkin seed,0.634014
1108,wholemeal wheat flour,wholemeal wheat flour,0.549478
1109,mustard oil,mustard oil,0.908753
1110,vegan mayo,vegan mayo,1.014422
1111,gluten-free baking powder,gluten-free baking powder,0.507211
1112,frozen petit pois,frozen petit pois,0.612880
1113,barbecue sauce,barbecue sauce,1.056689
1114,hot coffee,hot coffee,0.997515
1115,agave nectar,agave nectar,1.310295
1116,toasted sesame oil,toasted sesame oil,0.908753
1117,shredded makrut lime leaf,shredded makrut lime leaf,0.147936
1118,sliced parsley,sliced parsley,0.147936
1119,roughly chopped carrot,roughly chopped carrot,0.570612
1120,cooked brown rice,cooked brown rice,0.781950
1121,buckwheat groat,buckwheat groat,0.845351
1122,spelt,spelt,0.845351
1123,baby plum tomato,baby plum tomato,0.760816
1124,sliced kohlrabi,sliced kohlrabi,0.464943
1125,cashew butter,cashew butter,1.056689
1126,red thai curry paste,red thai curry paste,1.098957
1127,chervil leaf,chervil leaf,0.147936
1128,gochujang chilli paste,gochujang chilli paste,1.098957
1129,raw cacao,raw cacao,0.401542
1130,condensed coconut milk,condensed coconut milk,1.310295
1131,diced squash,diced squash,0.634014
1132,black bean paste,black bean paste,1.056689
1133,frozen petit poi,frozen petit poi,0.612880
1134,black-eyed pea,black-eyed pea,0.803084
1135,minced shallot,minced shallot,0.612880
1136,shredded radicchio,shredded radicchio,0.295873
1137,lemon thyme leaf,lemon thyme leaf,0.147936
1138,sesame sauce,sesame sauce,1.056689
1139,chopped pak choi,chopped pak choi,0.295873
1140,bulgar wheat,bulgar wheat,0.845351
1141,white flour,white flour,0.528345
1142,salted ricotta,salted ricotta,1.014422
1143,dark soft brown sugar,dark soft brown sugar,0.781950
1144,diced mozzarella,diced mozzarella,0.697415
1145,gruyere,gruyere,0.422676
1146,fresh white breadcrumb,fresh white breadcrumb,0.253605
1147,edamame,edamame,0.612880
1148,whipped cream,whipped cream,1.014422
1149,kalamata olive,kalamata olive,0.528345
1150,apricot,apricot,0.697415
1151,rye flake,rye flake,0.380408
1152,ground linseed,ground linseed,0.634014
1153,chopped candied peel,chopped candied peel,1.268027
1154,sliced romaine lettuce,sliced romaine lettuce,0.084535
1155,chopped crystallised ginger,chopped crystallised ginger,0.697415
1156,crumbled stilton,crumbled stilton,0.549478
1157,creamed horseradish,creamed horseradish,1.014422
1158,sliced ginger,sliced ginger,0.541025
1159,sprout,sprout,0.317007
1160,strong wholemeal bread flour,strong wholemeal bread flour,0.528345
1161,dill seed,dill seed,0.591746
1162,redcurrant,redcurrant,0.422676
1163,diced parsnip,diced parsnip,0.634014
1164,chopped squash,chopped squash,0.634014
1165,lettuce leaf,lettuce leaf,0.084535
1166,salted caper,salted caper,0.612880
1167,crystallised ginger,crystallised ginger,0.697415
1168,crisp onion,crisp onion,0.317007
1169,radish,radish,0.486077
1170,chestnut flour,chestnut flour,0.549478
1171,neutral cooking oil,neutral cooking oil,0.908753
1172,stilton,stilton,0.549478
1173,chopped radicchio,chopped radicchio,0.295873
1174,ice cube,ice cube,0.997515
1175,goat's milk,goat's milk,1.014422
1176,diced pancetta,diced pancetta,0.549478
1177,marjoram leaf,marjoram leaf,0.147936
1178,sour cherry syrup,sour cherry syrup,1.268027
1179,chickpea water,chickpea water,1.014422
1180,mushroom ketchup,mushroom ketchup,1.056689
1181,grated fennel,grated fennel,0.380408
1182,crushed crisp,crushed crisp,0.253605
1183,extra-fine sponge flour,extra-fine sponge flour,0.528345
1184,crispy chilli oil sediment,crispy chilli oil sediment,0.908753
1185,sprouted mung sunflower and radish seed,sprouted mung sunflower and radish seed,0.317007
1186,sliced basil leaf,sliced basil leaf,0.063401
1187,sweet white miso,sweet white miso,1.098957
1188,green curry paste,green curry paste,1.098957
1189,diced beef tomato,diced beef tomato,0.760816
1190,plant cream,plant cream,1.014422
1191,fava bean,fava bean,0.634014
1192,pickled red cabbage,pickled red cabbage,0.295873
1193,grated chestnut,grated chestnut,0.612880
1194,roasted macadamia,roasted macadamia,0.549478
1195,chopped seasonal green,chopped seasonal green,0.147936
1196,blitzed pistachio,blitzed pistachio,0.507211
1197,stem ginger in syrup,stem ginger in syrup,1.479365
1198,chana dhal,chana dhal,0.845351
1199,alioli,alioli,1.014422
1200,dolcelatte,dolcelatte,0.422676
1201,beanshoot,beanshoot,0.317007
1202,grated ricotta,grated ricotta,1.014422
1203,sliced kaffir lime leaf,sliced kaffir lime leaf,0.147936
1204,pot barley,pot barley,0.845351
1205,pixian chilli bean paste,pixian chilli bean paste,1.056689
1206,sliced cornichon,sliced cornichon,0.507211
1207,ground candlenut,ground candlenut,0.507211
1208,sourdough crumb,sourdough crumb,0.253605
1209,soft cheese,soft cheese,0.845351
1210,salad,salad,0.084535
1211,sparkling mineral water,sparkling mineral water,0.997515
1212,sliced stem ginger,sliced stem ginger,0.486077
1213,grated panela sugar,grated panela sugar,0.781950
1214,frozen strawberry,frozen strawberry,0.634014
1215,shredded bok choy,shredded bok choy,0.295873
1216,white chocolate chip,white chocolate chip,0.676281
1217,diced stem ginger,diced stem ginger,0.486077
1218,coriander and mint leaf,coriander and mint leaf,0.147936
1219,urid dal,urid dal,0.845351
1220,shredded green cabbage,shredded green cabbage,0.295873
1221,soya bean,soya bean,0.845351
1222,chopped mozzarella,chopped mozzarella,0.549478
1223,bitter leaf,bitter leaf,0.084535
1224,shredded spring cabbage,shredded spring cabbage,0.295873
1225,chopped red turmeric,chopped red turmeric,0.486077
1226,goat's cheese,goat's cheese,0.845351
1227,chilli crisp oil,chilli crisp oil,0.908753
1228,wholewheat giant couscous,wholewheat giant couscous,0.845351
1229,barley malt,barley malt,1.479365
1230,gelato,gelato,1.014422
1231,mixed sprouting herb,mixed sprouting herb,0.126803
1232,gingko nut,gingko nut,0.549478
1233,crouton,crouton,0.253605
1234,set honey,set honey,1.479365
1235,mixed sprouted seed,mixed sprouted seed,0.317007
1236,grated emmental,grated emmental,0.422676
1237,lao gan ma crispy chilli oil,lao gan ma crispy chilli oil,0.908753
1238,coriander stalk,coriander stalk,0.169070
1239,grated jerusalem artichoke,grated jerusalem artichoke,0.380408
1240,raw cane sugar,raw cane sugar,0.845351
1241,red chicory leaf,red chicory leaf,0.084535
1242,tomato salsa,tomato salsa,0.760816
1243,ground oat,ground oat,0.380408
1244,firm cheese,firm cheese,0.422676
1245,tahini sauce,tahini sauce,1.056689
1246,lotus biscoff spread,lotus biscoff spread,1.056689
1247,brown chestnut mushroom,brown chestnut mushroom,0.317007
1248,chopped smoked tofu,chopped smoked tofu,0.697415
1249,candied citrus peel,candied citrus peel,0.634014
1250,chilli jelly,chilli jelly,1.268027
1251,toasted nut,toasted nut,0.549478
1252,chopped mint and parsley,chopped mint and parsley,0.147936
1253,frying oil,frying oil,0.908753
1254,julienned courgette,julienned courgette,0.464943
1255,chopped choy sum,chopped choy sum,0.169070
1256,ground caraway seed,ground caraway seed,0.634014
1257,quartered brussels sprout,quartered brussels sprout,0.612880
1258,podded broad bean,podded broad bean,0.634014
1259,dried mung bean,dried mung bean,0.803084
1260,fried crispy onion,fried crispy onion,0.317007
1261,fermented black soybean,fermented black soybean,1.056689
1262,baby rocket,baby rocket,0.084535
1263,freeze dried raspberry,freeze dried raspberry,0.612880
1264,ciabatta crumb,ciabatta crumb,0.253605
1265,sushi ginger,sushi ginger,0.541025
1266,chinese cabbage,chinese cabbage,0.295873
1267,chopped chinese leaf,chopped chinese leaf,0.295873
1268,baileys,baileys,1.014422
1269,peanut in chilli oil,peanut in chilli oil,0.908753
1270,pickled blackberry,pickled blackberry,0.570612
1271,sliced shiitake,sliced shiitake,0.317007
1272,cooked cannellini bean,cooked cannellini bean,0.781950
1273,smoked cheddar,smoked cheddar,0.422676
1274,bean shoot,bean shoot,0.317007
1275,green tomato,green tomato,0.760816
1276,condensed milk caramel,condensed milk caramel,1.310295
1277,diced candied lemon peel,diced candied lemon peel,0.697415
1278,toasted cashew,toasted cashew,0.549478
1279,sardine oil,sardine oil,0.908753
1280,sliced bok choy,sliced bok choy,0.295873
1281,apple butter,apple butter,1.056689
1282,thai basil leaf,thai basil leaf,0.063401
1283,sweetened chestnut spread,sweetened chestnut spread,1.268027
1284,iceberg lettuce leaf,iceberg lettuce leaf,0.084535
1285,round grain rice,round grain rice,0.845351
1286,piloncillo,piloncillo,0.781950
1287,diced red cabbage,diced red cabbage,0.295873
1288,diced silken tofu,diced silken tofu,0.887619
1289,minced jalapeno,minced jalapeno,0.760816
1290,microgreen,microgreen,0.105669
1291,chopped dry roasted peanut,chopped dry roasted peanut,0.549478
1292,sliced fig,sliced fig,0.634014
1293,chopped roasted hazelnut,chopped roasted hazelnut,0.549478
1294,chopped green,chopped green,0.147936
1295,biscuit crumb,biscuit crumb,0.253605
1296,wholemeal bread flour,wholemeal bread flour,0.528345
1297,chinese toasted sesame paste,chinese toasted sesame paste,1.056689
1298,chopped mixed soft herb,chopped mixed soft herb,0.147936
1299,pinto bean,pinto bean,0.803084
1300,cabbage leaf,cabbage leaf,0.295873
1301,plain chocolate chip,plain chocolate chip,0.739682
1302,chopped cooking apple,chopped cooking apple,0.697415
1303,dried coconut flake,dried coconut flake,0.211338
1304,grated dark chocolate,grated dark chocolate,0.676281
1305,liquid,liquid,0.997515
1306,daikon matchstick,daikon matchstick,0.317007
1307,pickled carrot,pickled carrot,0.760816
1308,split urad dal,split urad dal,0.845351
1309,fermented chilli bean paste,fermented chilli bean paste,1.098957
1310,peanut chilli oil,peanut chilli oil,0.908753
1311,chopped frisee lettuce,chopped frisee lettuce,0.084535
1312,roasted sesame seed oil,roasted sesame seed oil,0.908753
1313,black poppy seed,black poppy seed,0.591746
1314,tupelo honey,tupelo honey,1.479365
